ABARA_code,Family,Genus,Species,Scientific_name,Chinese_name,DNA,COI,28S,Storage,Sex,Country,Locality,Elve,Latitude,Longitude,Collection_Year,Collection_Month,Collection_Day,QGIS_Action_Link
ABARA_00275,Araneidae,Aoaraneus,pentagrammicus,Aoaraneus pentagrammicus,五紋青鬼蛛,,,,,F,Taiwan,"Guanziling, Tainan",300.0,23.3388,120.503,2017,12,9,obsidian://open?vault=NCHU_Research&file=ABARA_00275
ABARA_00372,Araneidae,Bijoaraneus,sp.1,Bijoaraneus sp.1,,,,,Pringles_02,F,Taiwan,"Pingtung County, Taiwan",200.0,22.4,120.64,2019,6,25,obsidian://open?vault=NCHU_Research&file=ABARA_00372
ABARA_00380,Araneidae,Bijoaraneus,sp.1,Bijoaraneus sp.1,,●,◐,●,Pringles_02,M,Taiwan,"Pingtung County, Taiwan",200.0,22.4,120.64,2019,6,25,obsidian://open?vault=NCHU_Research&file=ABARA_00380
ABARA_00381,Araneidae,Bijoaraneus,sp.1,Bijoaraneus sp.1,,●,◐,●,Pringles_02,F,Taiwan,"Pingtung County, Taiwan",200.0,22.4,120.64,2019,6,25,obsidian://open?vault=NCHU_Research&file=ABARA_00381
ABARA_00382,Araneidae,Bijoaraneus,sp.1,Bijoaraneus sp.1,,●,◐,●,Pringles_02,F,Taiwan,"Pingtung County, Taiwan",200.0,22.4,120.64,2019,6,25,obsidian://open?vault=NCHU_Research&file=ABARA_00382
ABARA_00517,Araneidae,Eriovixia,laglaizei,Eriovixia laglaizei,拉氏毛圓蛛,●,◐,●,Pringles_03,F,Taiwan,"Low Altitude Experimental Station, Hoping Dist. Taichung City",1000.0,24.273285,120.948539,2019,6,30,obsidian://open?vault=NCHU_Research&file=ABARA_00517
ABARA_00559,Araneidae,Aoaraneus,pentagrammicus,Aoaraneus pentagrammicus,五紋青鬼蛛,●,◐,,Pringles_01,F,Taiwan,"Qingshan Road, New Taipei City",300.0,25.221899,121.532976,2019,7,12,obsidian://open?vault=NCHU_Research&file=ABARA_00559
ABARA_00661,Araneidae,Eriovixia,sakiedaorum,Eriovixia sakiedaorum,崎枝氏毛圓蛛,●,◐,,Pringles_03,F,Taiwan,"Lovers Lake Park, Kee Lung",160.0,25.159123,121.704894,2019,7,11,obsidian://open?vault=NCHU_Research&file=ABARA_00661
ABARA_00716,Araneidae,Eriovixia,laglaizei,Eriovixia laglaizei,拉氏毛圓蛛,●,◐,,Pringles_03,F,Taiwan,Pinglin Gourd,,24.865397,121.661323,2019,7,22,obsidian://open?vault=NCHU_Research&file=ABARA_00716
ABARA_01343,Araneidae,Eriovixia,sakiedaorum,Eriovixia sakiedaorum,崎枝氏毛圓蛛,●,,,Pringles_03,F,Taiwan,"Tianzi Village, Zhushan Township, Nantou County",380.0,23.703,120.1294,2020,3,11,obsidian://open?vault=NCHU_Research&file=ABARA_01343
ABARA_01370,Araneidae,Aoaraneus,pentagrammicus,Aoaraneus pentagrammicus,五紋青鬼蛛,,,,Pringles_01,F,Taiwan,"Wunlan, Sioulin Township, Hualien ",,,,2019,8,14,obsidian://open?vault=NCHU_Research&file=ABARA_01370
ABARA_01371,Araneidae,Aoaraneus,pentagrammicus,Aoaraneus pentagrammicus,五紋青鬼蛛,●,,,Pringles_01,F,Taiwan,"Wunlan, Sioulin Township, Hualien ",,,,2019,8,14,obsidian://open?vault=NCHU_Research&file=ABARA_01371
ABARA_01372,Araneidae,Aoaraneus,pentagrammicus,Aoaraneus pentagrammicus,五紋青鬼蛛,●,◐,●,Pringles_01,M,Taiwan,"Wunlan, Sioulin Township, Hualien ",,,,2019,8,14,obsidian://open?vault=NCHU_Research&file=ABARA_01372
ABARA_01420,Araneidae,Aoaraneus,pentagrammicus,Aoaraneus pentagrammicus,五紋青鬼蛛,●,◐,,Pringles_01,F,Taiwan,"Matai trail, Jianshi Township, Hsinchu County",346.0,24.696,121.19,2020,3,7,obsidian://open?vault=NCHU_Research&file=ABARA_01420
ABARA_01610,Araneidae,Eriovixia,laglaizei,Eriovixia laglaizei,拉氏毛圓蛛,●,◐,●,Pringles_03,F,Taiwan,"滬尾櫻花大道 Denggong Rd, Tamsui Dist, New Taipei City",77.0,25.168363,121.462381,2020,6,25,obsidian://open?vault=NCHU_Research&file=ABARA_01610
ABARA_01755,Araneidae,Eriovixia,laglaizei,Eriovixia laglaizei,拉氏毛圓蛛,●,◐,●,Pringles_03,M,Taiwan,"DahanShan forest road 0-6K, Chunri Township, Pingtung County",150.0,22.4039,120.6364,2020,5,3,obsidian://open?vault=NCHU_Research&file=ABARA_01755
ABARA_02940,Araneidae,Eriovixia,sp,Eriovixia sp,,●,◐,●,Pringles_03,F,Philippines,"Luzon, Philippines",300.0,17.78,121.28,2019,8,2,obsidian://open?vault=NCHU_Research&file=ABARA_02940
ABARA_02941,Araneidae,Eriovixia,sp,Eriovixia sp,,●,◐,●,Pringles_03,F,Philippines,"Luzon, Philippines",300.0,17.78,121.28,2019,8,2,obsidian://open?vault=NCHU_Research&file=ABARA_02941
ABARA_03080,Araneidae,Aoaraneus,pentagrammicus,Aoaraneus pentagrammicus,五紋青鬼蛛,●,,,Pringles_01,F,Taiwan,"Tenjhi forest recreation Area,Taoyuan District, Kaohsiung City",1200.0,23.067284,120.756127,2021,4,3,obsidian://open?vault=NCHU_Research&file=ABARA_03080
ABARA_03157,Araneidae,Eriovixia,pseudocentrodes,Eriovixia pseudocentrodes,尖腹毛圓蛛,●,◐,,Pringles_03,F,Taiwan,群峯山莊,1398.0,23.505025,120.696897,2020,7,23,obsidian://open?vault=NCHU_Research&file=ABARA_03157
ABARA_03190,Araneidae,Guizygiella,sp,Guizygiella sp,,●,◐,,Pringles_03,F,Taiwan,"Chiayi County, Taiwan",900.0,23.42,120.65,2021,1,21,obsidian://open?vault=NCHU_Research&file=ABARA_03190
ABARA_03601,Araneidae,Leviaraneus,viridiventris,Leviaraneus viridiventris,綠腹鬼蛛,●,◐,,Pringles_03,F,Taiwan,"田家樂社區賞螢步道 Zhusan Township, Nantou County",244.0,23.712096,120.694034,2022,2,8,obsidian://open?vault=NCHU_Research&file=ABARA_03601
ABARA_03839,Araneidae,Aoaraneus,sp.1,Aoaraneus sp.1,疑似青鬼蛛屬,●,◐,●,Pringles_01,M,Taiwan,"Taipei City, Taiwan",600.0,25.16,121.54,2022,3,18,obsidian://open?vault=NCHU_Research&file=ABARA_03839
ABARA_03847,Araneidae,Aoaraneus,pentagrammicus,Aoaraneus pentagrammicus,五紋青鬼蛛,,,,Pringles_01,M,Taiwan,高士佛步道,361.0,22.120921,120.837497,2022,4,3,obsidian://open?vault=NCHU_Research&file=ABARA_03847
